id,uid,track_id,content
5456,1000005,59672,唱出了90后的心声～～清新风格值得第二遍～
5457,1000041,59672,回复@干田 :你是90后?
5458,1000753,59672,穿着人字拖打着领带-0-~
5460,1002084,59672,@华艺天鑫 好甜美的声音
5463,1000005,59672,回复@derek : 可以有一颗90后的心态嘛～～～
5474,1012297,59672,华艺天鑫~期待~！[围观]
5517,1012446,59672,好听，青春
5568,1002126,61359,怎么感觉象凤凰传奇的感觉...要火啊..
5577,1000752,61359,[可爱]是挺像凤凰传奇的[衰]
5670,1000051,61359,听好听，挺有味道。
6917,1012236,61359,回复@采姑娘的小蘑菇: 你也很有味道。
7612,1017782,59587,宋太祖的这些反腐措施很值得借鉴。
12882,1040440,151677,染染好棒！妙极妙极！太好听了！
12884,1040440,151677,回复@筱染爱柯南 :好啊好啊[可怜]染染今晚爆发了啊
12886,1040440,151677,回复@筱染爱柯南 :期待天时地利之日爆发10更哈哈[害羞]
12888,1040440,151677,回复@筱染爱柯南 :想更就更，别累着了[偷笑]
12983,1030692,151677,推理小说中的那个人是明智小五郎，呵呵
12989,1030692,151677,回复@筱染爱柯南 :是啊，好歹也是个笑角。而且正义感超强的
16106,1049265,37717,70后的青春
25387,1055666,186966,片头想小广告耶
2945,1013786,127,"All aka.  "
6323,1012423,71106,英俊的~我喜欢~[偷笑]
6939,1007066,52697,菜妹纸求LOL糕帅富哥哥包养〜（＾∇＾）
12143,1000753,141022,唱的不错！-0-如果有图图和简介就好啦~~
12232,1012297,141022,好好听哦~~应该是泰语的吧？
15855,1012423,167213,好有爱的爸爸
15888,1046409,167213,回复@什锦音乐世界: 多谢
17510,1054908,180048,给你满满正能量~！！！[爱你][威武]
17521,1052156,180048,[给力]
17893,1051741,180048,此处进入节目[呵呵]
28428,1096753,127,?
39198,1000752,210769,啊 真好听[爱你]
41693,1084090,215588,buv
45166,1012297,222308,[围观]又是一首经典！
45199,1013381,222308,回复@Silvia :必须经典，哈哈~
45467,1242954,222308,超爱她。
45530,1243314,222308,不错。
45562,1221407,222308,很舒服的感觉！
45633,1244038,222308,不错有范儿
45889,1246325,222308,nice
18586,1058424,182152,"#《嫦娥》李玉刚# 
天籁之音，百听不厌！"
25012,1051203,185943,可怜的娃儿~多喝水！别忘了！晚安哟
25607,1073749,187168,你是不是很无聊！
31935,1105826,83896,有一些内容和daomubuji.com的文章不太一样 不知您读的是哪一版？
32094,1021005,83896,回复@247_6J: 我读是臧海话啊 亲 zanghaihua.org
32210,1105446,202439,[神马]
32418,1105826,83896,回复@骆驼: 嗯 对 不过盗墓笔记那个网也有这小说。内容不太一样，隐去了一些细节，之前还有两段前文。无论如何，谢谢你！讲的比现在所有的盗墓笔记的有声小说要好。
32482,1021005,83896,回复@247_6J: 那个就是没排版之前连载版本 所以好多听众都说好像顺序不一样 我这回吸取教训 出书再继续录了 而且现在停更了 好多东西怕放下之后接不上了 谢谢你对我的关注
33453,1129020,179040,我觉得你讲白话怪怪的
40826,1007108,214307,中国特色必须有中国特色
40827,1096206,214307,我们就是被中国英语残害的一代咩。。。哎哎哎~
40828,1096206,214307,哈哈哈哈哈！！你个萌货！！见证了！！
40829,1096206,214307,这一声溯洛才是本音吧~~你个伪汉纸！~~~
40830,1096206,214307,小清新~~~[兔子]
40848,1169724,214307,"#微闻联播130313：猪投上海  沙逼北京 # 哎，捂脸~~第一次播报，还有很多问题~~~以后一定会继续努力的~~大家多包涵啊~= =  还有 以后请叫我洛健翔~~"
40850,1169724,214307,第一次播报还有很多问题。会继续努力的~还有，以后请叫我洛健翔
40870,1002126,214307,回复@阿溯:健翔附体~~哈哈
40899,1002126,214307,回复@阿溯:好，以后叫你，数落健翔……[偷笑]
40908,1169724,214307,回复@怪蜀黍岳:噗~~~哈哈~~健翔这厢有礼了~
40925,1016989,214307,欢呼！撒花！
1142,1012508,24144,[兔子]
1143,1012508,24144,你是三个和尚中的一个，哈哈哈。
1172,1012432,24144,"#三个和尚的故事# 还是习惯杨声优的！"
1239,1007103,24144,哈哈，真冷。
1263,1002126,25585,继续追！
1264,1002126,25585,果然，越听越好玩，不是很恐怖
1271,1012414,25585,回复@左轻侯:开始很轻松，以后会有些恐怖段子。呵呵。
1273,1002141,25585,大大周末都更新哦，辛苦了。
1291,1007062,25585,三段都听了 很喜欢 希望不要坑啊
1292,1012414,25585,回复@谢大耳朵:有时间就弄了。
1293,1012414,25585,回复@匀子:单元故事，绝对不会坑的，呵呵。
1455,1012414,25585,回复@小懒杨申:不快啦~故事要好好想想。呵呵
1456,1012414,25585,回复@_钦呀个钦钦钦:有时间就来坐坐，马拉雅交流就是很好的交流平台。呵呵
1481,1012230,25585,太牛了，牛人啊，葱白你啊
1491,1000753,25585,奥！！是这样才成了收魂人！
1549,1012414,25585,回复@yamapig:地府一游，就是一个引子，不平凡的开始。
1550,1012414,25585,回复@小雨蓉易:嘻嘻~谢谢~我继续努力~[嘻嘻]
7701,1018694,77298,[思考]     老熟人！不错！
7754,1012412,77298,回复@有家电台 :老熟人 你是
8623,1000877,77298,额....老熟人？
1454,1012599,12019,不错
1986,1002129,32728,大家早哦
2004,1007098,32728,回复@EraserYun:早~[可爱]
11143,1021555,118620,恩恩。真好听
11449,1030857,118620,不错
12002,1037481,118620,很不错
12245,1000584,118620,回复@星际人类 :谢谢，会继续努力的~
12356,1038997,118620,
20484,1014474,183597,好喜欢你讲的侦探小说。。。最喜欢柯南道尔了。。。
26046,1000663,183597,回复@芷新 :我只是采集下来而已，呵呵
27820,1090829,118620,精典
28390,1096097,27907,"#茅山后裔之传国宝玺第三十五集# [给力]"
28627,1092278,12019,太棒了宝贝。
30745,1104209,118620,"这张专辑是我最爱。
"
30761,1112275,195753,零点记忆！
30881,1113689,195753,好听！
31247,1120347,195753,好听
31322,1121832,201557,好听、
31336,1002126,201557,还是喜欢原版。
31340,1014034,201557,回复@怪蜀黍岳 :我喜欢这个版本
6023,1014062,66918,sdfsdfsd
38312,1184823,179018,any body？
39420,1193362,179018,Hello
40668,1121202,179018,要是有字幕就好了 可以学习了
42662,1219303,217054,好听
44288,1233456,179018,氢气球
44959,1239728,179018,好
53865,1242389,179018,"开始了
"
60998,1352762,179018,嘿嘿
63243,1353731,179018,我果然听不懂在讲什么
64031,1371726,179018,求字幕
64222,1372616,269423,fgh
66765,1388762,179018,very good！
66904,1319280,269423,又木有及时上传
67120,1002126,269423,"#916聊吧 你的哪句话代表“我爱你”130411# 被监督了。。"
67401,1365530,281201,能不能以后把歌词打出来啊？
67527,1257605,179018,"I like it
"
67898,1000155,281201,回复@Aaron无敌阿斌哥:歌词有呀，在右侧
68015,1035193,269832,rhyme radio
72234,1306907,46189,讲的很好
14360,1012308,131579,19岁我是肉嘟嘟的脸蛋天天吃10个肉包子早饭，一天吃无数个面包哈哈
43017,1206061,214284,每日心情小调！搜索:优雅Style 欢迎关注！
43018,1206061,214284,每日心情小调！搜索:优雅Style 欢迎关注！
43019,1206061,214284,每日心情小调！搜索:优雅Style 欢迎关注！
43020,1206061,214284,每日心情小调！搜索:优雅Style 欢迎关注！
47378,1232211,223345,温馨提示……
47380,1232211,223345,.
48316,1016852,223345,"#2013-3-20午夜心情# 这个我好喜欢..."
50036,1270001,131579,"感触不错！
"
112008,1548449,170393,好听
137001,1884994,544515,小飞飞，注意嗓子啊～
137168,1840799,544515,回复@理发店家的女儿: 还好啦〜喝点水就米有事儿了〜
143046,2002315,476075,这广告 真他妈缺德
172067,1852235,679839,"离开你的第n天,我始终没办法忘记你...如果爱你注定要失去自我,那么我选择追随你执着到底。"
172229,1012297,679839,[呵呵]
199741,1800159,934399,今晚出第七集了。“敬告：出一集听一集，请唔好等到出晒先至听，否则，后果自负！”
203205,1553783,941648,是要收集声音吗？
203209,1217043,941648,回复@tanyn:嗯，是啊，收集大家的声音
203213,1553783,941648,回复@醉夜心情:你怎么不留邮箱地址什么的[思考]
203218,1217043,941648,回复@tanyn:上一个声音有啊
664,1000755,16566,有特色
665,1012337,16566,回复@坏小糖 :哈哈谢谢啦，继续努力
667,1000755,16566,"回复@郭冰IceAka大熊 :嘿嘿，都蛮好听的哦，我打算转发到我的微博上~~ "
668,1012337,16566,回复@坏小糖 :哈哈谢谢，你们的喜欢是我努力的动力
674,1012337,16566,回复@小懒杨申 :嘿嘿
729,1012297,16566,音乐频率很好哈~~唱的太棒了！
730,1012297,16566,期待其他作品啊！！！[威武]
746,1012337,16566,回复@兔子_吉祥 :恩，会继续出作品哦，敬请期待
747,1012337,16566,回复@兔子_吉祥 :谢谢哦
757,1012297,16566,回复@郭冰IceAka大熊 :[嘻嘻]好哩~！
826,1012423,16566,[威武]
832,1007103,16566,这个词写的挺好
1831,1000755,16566,回复@郭冰IceAka大熊: 嘿嘿，我会继续支持滴
2202,1000051,16566,喜欢
5269,1007108,57616,[哈哈]
5319,1015797,57616,都扩容到这里了[熊猫]
9015,1002084,88539,淡淡的片花，真不错
11250,1012230,128472,有些慵懒，淡定的味道，象高晓松早期的校园歌曲
17222,1053705,164075,我最爱的歌，听了多少遍还是那么喜欢！大爱！直击心灵！
18160,1014610,181253,回复@小懒杨申:晕，居然被你抓个正着[害羞]
4515,1000041,51401,很喜欢你的节目。每一段小故事都是别人的人生
4525,1000752,51401,这个故事真好，喜欢
8698,1019563,82621,很不错哦！
8702,1012507,82621,回复@幸福就在你身边 :谢谢！呵呵！
12922,1002126,73671,"#翻唱的年下诱惑。。。无节操# …………"
13005,1016011,73671,回复@怪蜀黍岳 :歌词是这样的啊……
13013,1002126,73671,"#翻唱的年下诱惑。。。无节操# [哈哈]"
13014,1014034,73671,唉，年下诱惑，绝世小攻，大爱啊！
16735,1050924,39899,听到宝贝的声音
25156,1012382,186516,电影画面瞬间浮现。。。
25157,1014034,186516,看到标题以为是你的喜讯呢！
25629,1012431,187175,回复@小懒杨申 :呵呵
25745,1034971,187175,"#狼人游戏主持音# 嗯 都闭上眼睛了[思考]"
25931,1012431,187175,回复@红樱桃有声世界:闭上了？——那可以开始了！
26849,1002129,186516,回复@Sandy双双: 本来想法舒淇版的，可是没找到。
31567,1029515,187175,这个是哪个游戏里的呀？
31996,1012431,187175,回复@巧克力盒子 :……猎人游戏[汗]
36765,1165041,203004,"I LOVE YOU!
"
53477,1287729,241187,老师，我来了！
53513,1000051,241187,每天养成一种习惯，刷一刷期待铸剑先生的解盘。
631,1012231,15043,"#邓泽测试平台# 声音很好听，发点正式节目上来听听？"
635,1012231,15043,期待ing
636,1000860,15043,欢迎入驻！：）
656,1000039,15043,啥时候讲，嘿嘿，我肯定天天听
658,1000041,15043,主要讲英音还是美音啊？
694,1007214,15043,"#邓泽测试平台# 期待一下"
696,1002126,15043,声音好专业啊！
731,1000017,15043,oh yeah.我要学英语
774,1012375,15043,老师加油啊！！等着呢
17979,1000004,180948,"#第5周入榜NO.5- When I Was Your Man# asdfasdfsadfsa"
17980,1000752,180948,好听
25740,1075907,187269,我要学习英语~更需哦~
26640,1083460,180948,年轻的歌声！
27185,1000156,180948,回复@ydbaby :[呵呵]
28744,1077824,180948,很好听，我很喜欢。
29285,1000156,180948,回复@男欢女爱2096805047 :[给力]
29461,1088132,196199,谢谢分享这么好的资源！
29536,1077411,196199,我不喜欢。
29548,1077411,196199,"我喜欢，（我朋友不喜欢！！！！？？ ？  ？？  ）
   "
30296,1091823,196199,"Clifford 也是小成很喜欢的@小P孩_小P孩 "
3132,1002126,43557,这个有意思
5916,1016410,64955,[兔子]太贪心了 又听一遍
6018,1016033,64955,回复@因为我所以我 :矮油~
8184,1020203,79369,"#第51周入榜N084-I Want To Know What L…# 是不是没有办法下载mp3？"
14681,1002141,79369,真的非常喜欢这家伙的嗓音，Classic Rock Vocal。
15866,1000155,79369,回复@谢大耳朵 :哈哈，难道你也是俗称的声音控！不过好声音的确为歌曲加分呢！
29840,1107068,43557,还不错的
29885,1091733,21452,34，35为啥听不了啊？
37564,1071436,208812,不错啊，转了
37565,1071436,208812,给女儿听
44646,1108602,177156,不好听。你觉得这么加速的好听？太忙活人了
48874,1048006,208812,不错
48907,1075738,208812,声音真好听，音还那么准，也是唱歌的料子啊！
48997,1079959,208812,唱得真准啊，比我们家五音不全的小丫头强多啦
49056,1097806,208812,回复@沁云声声: 谢谢，我们这个就是五音不全的啊！cloudia读的大红狗特棒！
49364,1077800,208812,太可爱了！
49596,1276008,208812,喜欢
49717,1188573,208812,好听哦
50854,1245882,208812,"宝宝第一次听就好喜欢好激动，动开动去的，马上下载了
"
50887,1097806,208812,回复@小诒baby:播放目录里面还有原唱，更好听呵呵
6325,1017089,10308,"#第一讲 修养篇：道不远人# "
12193,1038162,10308,"好

"
13927,1042691,10308,受益匪浅
14677,1002141,153048,Eminem的口条怎么长的，Rap太强了[哈哈]
15559,1000157,153048,回复@谢大耳朵 :天赋之外，练习应该很重要把！哈哈，试一下？
36791,1172834,207934,听你评论像听娱乐双响炮似的：）可惜评论里没有表情可打：（
37563,1177490,204581,会告诉你第一句就吸引我了吗？
37568,1177490,204581,回复@Oweir欧美音乐: 有吗？还好吧
37571,1177490,204581,回复@Oweir欧美音乐: 没错!
38446,1185243,44520,"dg

bhhh"
40747,1203266,10308,喜欢翟洪燊'喜欢你的讲座.很喜欢
47299,1127791,168672,非常独特的嗓音
53521,1201528,240893,其实央广也在用，网上广为流传的版本是雨亭发的。
53686,1054395,240893,回复@脱口而出 :这个是我去拷的
53801,1202685,196049,谢谢
56082,1226811,196049,宝很喜欢这个绘本，谢谢！
56507,1314268,168672,"#《It will rain》—优质女声翻唱火星哥热单# 吸引人的声音！！"
58635,1054306,247419,是哪个连续剧的主题曲。春去春又回吧。大爱
59059,1045955,247419,回复@黄河 :是倚天屠龙记哦~[偷笑]
64220,1372621,272245,我来啦，感觉这个声音和广播还是没很大区别的，但是和那天去仙林回来的路上的声音有点不同，这个有磁性！
16794,1051528,177328,文艺老阿姨，哈哈哈，可你的声音很稚嫩呀。音乐很好听，两期都听了，的确有必要买个优质耳机，有啥推荐
16795,1047294,177328,回复@shunz_cn: 嘿嘿 谢谢关注 耳机嘛 今天好几个人问我呢 我想整理点东西再推荐比较好 弄好了@你
49050,1016927,231159,泥泥好棒！！！[爱你]
49337,1182986,231159,好特别的嗓音
50935,1150593,177760,"最后女生声音我喜欢
"
51175,1000303,231159,有些慵懒的味道 喜欢~[可爱]
51623,1284339,231159,"真心好听啊
"
51933,1187701,231159,"更好
"
52210,1292279,231159,唱的很独特
52249,1012399,231159,"@可艾贝诺 "
69111,1398269,231159,好听
69395,1356376,231159,听到第一句我颤了一下。
70696,1394498,231159,鸡皮疙瘩都起来了，很棒
70702,1394498,231159,好棒
72297,1403733,231159,！好听！
78543,1453605,231159,这个声音，好羡慕。
78577,1372673,291312,good
81002,1499768,268811,不能看吗？为啥没图像？
85098,1529057,231159,好听~
86735,1210452,231159,不一样的感觉
30213,1109453,47423,不错的故事，转发送给自己的宝宝
45400,1002126,223041,下了听。
45486,1016989,223041,回复@怪蜀黍岳 :吓着了不赖我
45538,1169724,223041,"#访谈·聊聊网络小说那些事—NJ贝尔# [太开心]嘿嘿，早就期待的一起节目哟~~~"
72159,1306557,273698,啊啊啊啊！怎么办好喜欢里面的歌太好听了
72206,1306557,273698,超爱
74543,1019747,299361,红十字我怎么在相信你呢
83944,1521544,324981,还
84360,1408433,326124,就觉得这个很赞。。。
87085,1543174,324981,好听
87086,1543174,324981,好听
90264,1557799,344471,都市夜未眠
90268,1557799,344471,終於更新了、加油喔！
90271,1363000,344471,回复@聆聽感觸心靈的聲音 :谢谢~好梦哦
90538,1416076,344471,很喜欢你的作品
90540,1363000,344471,回复@點壹鏑: 谢谢你〜晚安。
90682,1363000,344471,回复@點壹鏑: 谢谢你〜每周四都会更新〜
93946,1521732,344471,"#【都市夜未眠】我在回忆里，等你# 节目的出现的女孩，是不是都有“生菲”的影子？听起来很真实，也感觉很细腻~加油哈！"
93959,1363000,344471,回复@丁叮当猫: 嗯，有些话也是对自己说的，谢谢你〜节目每周四都会准时更新〜
94323,1589880,350247,-_-|||不会煮饭的好多的
2774,1002126,38349,我在我的梦想之路飞奔…代价是…裸奔
2775,1007098,38349,嗓子都哑了，坚持梦想和工作都很不容易。人的一生也许都在追寻，很难有最终的结果。坚持到坚持不了，总算以后不会后悔。好好休息吧，下次大晚上不要说那么沉重的话题呀…要shi'mian'le失眠了
2776,1007098,38349,回复@怪蜀黍岳: 裸奔好呀，排除毒素，一身qing'song轻松
2778,1000051,38349,stick to your dreams
2779,1000051,38349,stick to your dreams
2781,1002126,38349,回复@小安: 有勇气裸奔可不是一件容易的事。。
2784,1012688,38349,我挺怕比我年轻的孩子问我这么感性的话题
2792,1012388,38349,追逐梦想的过程，不求不计一切手段的追求结果，成功是过程，你是努力过后但求无愧于心。这辈子我们是带不走什么物质上的东西了，所以尽情的让自己的内心充满吧，百岁之后站在你面前的佛主和我面前的上帝，不会拉整个团队，整个公司，整个社会来评判你的归属，都只以你个人一生的功过来衡量我们的价值。
2847,1012423,38349,那些理想不切实际，要追求更大的东西，这个“东西”是什么呀？？求解答~~~
2848,1012423,38349,让我明白一个深刻的道理：成功要尽早，因为随着年龄的增长，人身上的包袱会越来越多。
2862,1012382,38349,回复@安杵:说这样的话，你该有多老呢？
2864,1012382,38349,回复@小胖竞子:一句话，对得起自己。
2865,1012382,38349,回复@怪蜀黍岳:把脸遮住就行。。。
2883,1007092,38349,数据不存在？
2887,1012688,38349,回复@Sandy双双 :年纪不小咯
3347,1012242,38349,我也做过一期关于梦想！
3358,1012242,38349,回复@小懒杨申: 马上发
8180,1012508,38349,半老头子，有木有介么老呀。[鄙视]
